data,ora,Lat N,Long E,prof (km),Md
03/02/24,23.06.29.86,37.722,15.068,3.79,1.7
09/10/24,09.13.34.99,37.757,15.004,1.79,1.2
04/10/04,19.06.47.11,37.739,15.159,9.36,2.0
07/01/13,06.36.44.41,37.719,15.04,1.58,2.3
07/01/14,01.20.10.67,37.727,15.01,1.33,3.0
05/08/03,08.09.47.01,37.812,15.04,-0.1,2.0
09/12/01,20.44.21.20,37.806,15.048,0.18,1.0
11/16/21,05.56.53.57,37.710,15.006,5.16,1.2
05/11/02,14.24.47.55,37.741,15.115,4.92,1.4
03/03/09,07.55.59.77,37.685,15.103,4.58,3.0
02/06/23,01.25.49.82,37.73,15.062,4.43,1.3
06/06/16,14.21.51.44,37.733,15.091,0.38,1.5
02/10/26,16.34.07.25,37.754,15.008,1.67,1.7
10/02/31,11.22.12.38,37.748,15.121,4.88,2.4
12/15/29,15.29.25.16,37.802,15.047,-1.58,2.4
03/13/05,00.48.24.25,37.743,15.052,3.79,1.6
07/04/10,03.26.30.09,37.743,15.04,3.58,1.8
05/04/22,11.52.08.05,37.712,15.072,4.53,2.0
07/06/31,01.33.13.15,37.735,15.098,3.58,1.2
10/15/06,21.59.22.68,37.735,15.052,3.71,1.3
11/07/01,10.45.49.71,37.751,15.083,6.18,2.4
09/10/06,00.39.06.25,37.769,15.125,6.42,1.3
07/01/13,00.48.06.24,37.713,15.005,0.66,2.0
09/03/01,19.21.07.89,37.737,15.092,5.94,2.5
07/01/13,04.38.16.55,37.715,15.011,0.91,2.5
02/11/14,03.28.26.25,37.755,15.044,4.84,1.6
07/01/14,05.55.05.43,37.683,14.935,0.98,3.1
07/01/13,03.45.54.10,37.727,15.006,0.68,2.5
04/03/15,19.04.10.17,37.705,15.062,3.8,2.7
07/01/13,01.10.58.76,37.711,15.022,1.72,2.2
08/09/09,20.18.46.66,37.734,15.091,2.98,1.7
05/16/04,07.44.51.23,37.753,15.008,0.93,1.5
10/12/26,13.17.29.25,37.7,14.974,1.03,2.0
04/15/19,08.18.43.48,37.807,15.121,0.81,2.7
09/09/18,15.55.54.06,37.805,15.057,-0.7,1.7
04/03/28,22.07.47.48,37.728,15.088,5.62,2.0
07/06/08,10.12.53.60,37.743,15.006,0.4,1.1
10/06/02,01.57.12.79,37.695,14.978,2.29,1.5
05/08/13,08.56.45.41,37.751,15.005,0.39,1.0
09/16/25,10.19.13.06,37.748,15.115,4.32,1.3
03/08/26,02.04.57.51,37.678,15.151,0.2,1.8
03/02/08,13.18.57.74,37.673,15.085,2.72,2.6
07/01/12,23.22.20.97,37.722,15.024,2.28,2.3
09/16/25,18.56.14.42,37.753,15.110,3.39,1.3
