data,ora,Lat N,Long E,prof (km),Md
07/01/13,05.49.31.51,37.701,15.046,1.06,2.9
07/01/17,10.08.17.73,37.712,15.002,-1.58,3.4
09/15/03,12.45.12.95,37.649,15.189,9.04,1.9
03/02/30,19.14.06.99,37.72,15.058,3.98,2.0
09/09/26,20.15.44.88,37.743,15.071,4.46,1.3
07/14/11,15.56.31.90,37.632,15.047,7.42,2.6
09/08/29,01.46.30.68,37.724,15.118,5.75,2.2
07/01/13,02.32.06.02,37.704,15.038,1.02,2.4
06/07/24,17.14.33.46,37.809,15.054,1.86,1.8
07/01/13,22.44.42.15,37.721,15.038,1.21,2.4
07/01/13,08.08.48.70,37.69,14.985,-1.55,2.6
02/08/04,18.32.29.85,37.747,15.093,6.82,1.9
01/10/11,22.55.43.27,37.76,15.091,7.49,2.6
01/01/09,02.51.33.70,37.701,15.071,3.78,2.7
07/01/13,04.24.36.03,37.712,15.012,1.05,2.4
11/02/07,09.03.18.34,37.691,15.125,1.75,2.3
05/13/21,01.24.30.34,37.709,15.101,6.75,1.8
10/02/27,00.10.27.94,37.757,15.002,1.68,3.3
06/08/29,18.24.38.70,37.739,15.127,-0.44,2.1
01/08/22,06.46.50.32,37.698,15.069,4.43,1.5
04/10/11,21.05.07.86,37.802,15.036,-0.46,2.4
05/08/16,07.21.02.06,37.739,15.066,4.68,1.5
04/08/05,02.40.29.85,37.769,15.079,7.44,2.2
01/13/04,08.11.45.21,37.877,14.725,9.62,2.5
06/04/29,03.25.15.46,37.745,15.007,1.79,1.7
03/16/20,03.31.50.30,37.747,15.098,3.93,1.3
05/03/05,19.12.35.21,37.736,15.1,5.46,2.0
02/14/22,03.54.43.08,37.748,15.157,9.94,1.7
04/10/28,01.45.46.51,37.678,15.089,2.62,2.1
07/01/15,19.39.25.70,37.717,15.007,-1.27,2.5
02/01/20,22.43.23.15,37.727,15.009,2.92,2.2
04/06/26,20.41.15.92,37.697,15.014,2.08,1.5
