data,ora,Lat N,Long E,prof (km),Md
03/02/25,00.15.19.49,37.72,15.067,4.,2.4
02/08/14,23.52.42.38,37.812,15.098,0.93,2.8
08/12/29,11.30.23.04,37.75,15.036,5.17,1.4
07/04/27,01.27.04.65,37.747,15.075,5.97,1.4
11/02/19,10.42.03.84,37.66,15.155,4.21,2.6
08/04/07,04.26.34.15,37.68,14.984,5.68,2.6
04/04/01,20.54.42.33,37.731,15.071,4.91,1.5
10/16/03,17.34.14.04,37.764,15.120,4.1,0.9
09/16/20,02.38.47.74,37.752,14.979,2.1,1.0
04/05/23,08.06.01.23,37.785,15.113,0.02,2.5
05/14/11,05.53.30.25,37.669,15.108,2.12,1.2
10/05/25,01.03.32.85,37.695,15.073,3.37,2.1
03/15/04,12.57.04.32,37.744,15.115,8.19,1.1
12/06/30,23.42.05.84,37.663,15.098,2.04,1.0
11/05/19,01.25.57.21,37.746,15.095,6.28,1.5
05/16/04,02.13.12.61,37.755,15.010,0.55,1.4
09/16/22,01.46.01.64,37.754,15.107,4.29,0.7
04/02/11,01.39.12.88,37.695,14.975,-1.29,1.9
01/01/09,16.28.53.01,37.702,15.072,4.63,2.0
03/09/14,16.41.43.51,37.736,15.086,6.29,1.7
05/10/19,02.54.46.04,37.754,14.847,2.28,1.4
01/03/20,06.46.43.47,37.702,15.096,2.81,2.3
07/11/04,19.57.12.99,37.738,15.049,5.31,1.7
02/10/12,05.03.50.74,37.738,15.078,3.35,1.2
03/12/02,23.54.27.54,37.762,15.104,6.22,1.4
09/16/29,07.07.09.40,37.728,15.116,6.92,1.6
05/13/24,02.40.43.86,37.722,15.074,5.17,2.2
04/10/23,23.07.54.74,37.707,15.134,2.75,1.8
09/14/02,20.10.31.43,37.725,15.091,5.48,1.4
05/08/25,19.38.08.06,37.686,15.112,0.21,1.5
10/02/29,20.35.16.13,37.73,15.066,2.79,2.0
02/06/04,02.31.35.37,37.72,15.059,3.11,1.4
08/04/18,21.58.01.45,37.703,15.088,5.29,1.5
03/04/02,21.09.55.47,37.684,15.091,5.92,1.5
12/12/14,04.21.12.28,37.735,14.994,0.46,1.2
05/06/19,04.47.23.43,37.74,15.155,9.18,2.4
08/16/26,14.50.26.14,37.753,15.023,3.6,1.3
09/06/05,11.27.48.85,37.824,15.073,-1.55,2.7
01/02/26,02.25.34.32,37.7,15.073,3.18,2.4
12/16/31,22.44.33.70,37.72,15.017,4.29,1.2
04/08/25,00.13.26.41,37.677,15.036,6.95,1.2
03/12/05,03.10.20.10,37.728,15.052,3.85,1.7
07/01/13,00.27.22.35,37.722,15.013,1.54,2.2
09/02/21,08.58.35.88,37.701,15.096,4.,1.8
01/07/14,14.14.56.11,37.746,15.092,5.87,1.3
08/04/04,10.28.02.27,37.739,15.054,4.27,1.5
10/14/19,03.17.32.74,37.696,14.972,3.44,1.3
06/12/27,22.11.46.04,37.717,15.101,5.78,2.9
03/13/21,02.59.22.16,37.704,15.094,5.21,2.4
10/05/08,23.33.09.94,37.676,15.088,3.8,1.9
10/16/03,13.31.58.53,37.746,15.133,7.7,1.4
04/05/23,08.03.12.50,37.784,15.112,-0.9,3.0
10/03/22,12.06.32.55,37.685,15.111,6.31,2.8
09/16/25,11.18.52.23,37.757,15.122,4.25,1.4
12/06/08,03.31.19.15,37.677,15.13,7.28,1.4
06/08/29,01.38.27.56,37.746,15.107,2.28,1.7
10/05/21,22.30.19.56,37.689,15.076,3.16,1.8
