data,ora,Lat N,Long E,prof (km),Md
11/12/08,02.47.19.00,37.731,15.011,-1.57,1.0
12/12/11,12.46.59.13,37.803,15.06,-1.57,1.5
12/14/08,01.37.03.11,37.813,15.065,-1.57,1.4
01/15/28,06.16.42.51,37.817,15.04,-1.57,1.8
05/01/03,21.41.36.48,37.648,14.966,-1.56,3.2
07/01/13,04.20.53.40,37.693,15.037,-1.56,2.3
10/02/27,01.28.17.59,37.808,15.051,-1.56,3.5
08/07/26,23.00.29.70,37.648,15.148,-1.56,1.8
02/08/15,10.10.23.93,37.816,15.115,-1.56,1.4
03/08/21,21.20.24.54,37.635,15.068,-1.56,1.9
04/08/29,10.01.41.16,37.82,15.064,-1.56,1.7
05/08/13,20.47.03.13,37.758,14.93,-1.56,2.2
06/08/08,21.04.42.97,37.809,15.049,-1.56,1.3
05/09/08,20.11.06.21,37.739,15.13,-1.56,1.3
07/09/24,23.47.08.75,37.815,15.074,-1.56,2.5
02/10/28,05.19.47.47,37.683,14.894,-1.56,2.3
04/10/02,20.05.30.85,37.804,15.057,-1.56,3.8
11/10/27,11.43.07.40,37.631,15.141,-1.56,2.1
05/11/16,16.47.00.75,37.822,15.05,-1.56,1.3
10/14/11,00.13.09.76,37.76,14.931,-1.56,1.7
07/15/17,12.11.34.77,37.804,15.033,-1.56,1.8
07/16/06,01.57.26.99,37.815,15.139,-1.56,1.5
12/16/08,12.52.10.16,37.805,15.050,-1.56,1.4
07/01/12,23.37.40.79,37.719,15.015,-1.55,2.2
07/01/13,08.08.48.70,37.69,14.985,-1.55,2.6
07/01/14,16.52.36.36,37.692,15.04,-1.55,3.3
04/02/13,12.34.11.76,37.812,15.08,-1.55,2.7
09/06/05,11.27.48.85,37.824,15.073,-1.55,2.7
11/09/23,10.08.56.67,37.801,15.05,-1.55,1.2
02/10/03,06.52.43.45,37.75,15.004,-1.55,1.6
04/10/26,07.53.04.30,37.737,15.132,-1.55,2.0
05/11/01,16.39.20.95,37.635,14.928,-1.55,2.1
09/11/16,08.51.47.03,37.652,15.101,-1.55,1.4
05/12/28,06.03.48.16,37.75,15.044,-1.55,1.2
12/15/29,09.05.32.13,37.804,15.034,-1.55,1.0
07/01/15,15.07.49.92,37.716,15.01,-1.54,2.5
10/02/27,13.23.56.97,37.789,15.038,-1.54,2.7
11/07/15,14.39.01.82,37.805,15.059,-1.54,1.9
07/08/12,15.27.26.33,37.723,15.126,-1.54,2.0
01/10/25,13.24.47.09,37.75,15.005,-1.54,1.4
11/10/03,15.16.19.25,37.687,14.923,-1.54,1.5
06/11/22,03.12.39.96,37.674,14.927,-1.54,1.7
11/12/19,07.08.49.85,37.716,14.994,-1.54,1.0
07/01/16,13.57.09.29,37.709,15.015,-1.53,3.2
02/08/14,23.53.59.88,37.818,15.097,-1.53,2.6
07/09/18,22.52.03.00,37.683,15.118,-1.53,1.3
12/15/29,15.30.59.36,37.804,15.048,-1.53,1.5
05/08/13,09.22.06.94,37.76,15.005,-1.52,2.0
10/08/27,19.54.21.88,37.724,14.876,-1.52,1.3
06/06/03,06.33.22.81,37.656,15.142,-1.51,1.6
06/10/23,09.42.24.79,37.646,15.114,-1.5,1.7
05/08/13,09.44.01.57,37.776,15.001,-1.49,2.1
07/01/15,21.04.35.34,37.714,15.009,-1.48,2.8
04/08/08,00.35.37.77,37.664,15.136,-1.48,1.1
06/09/18,22.29.13.73,37.798,15.043,-1.48,2.5
07/01/13,00.49.48.91,37.743,15.001,-1.47,2.2
04/09/30,23.54.52.76,37.695,14.916,-1.47,2.2
10/01/26,17.21.20.53,37.67,15.007,-1.46,2.1
10/01/26,22.38.09.51,37.67,15.008,-1.46,1.7
06/10/26,16.31.35.91,37.745,15.009,-1.46,1.1
05/16/30,01.10.54.61,37.743,15.000,-1.46,0.8
07/01/13,09.36.03.24,37.694,14.972,-1.45,1.4
02/02/10,13.08.33.73,37.659,15.016,-1.45,1.9
08/04/25,11.01.47.19,37.671,15.113,-1.45,1.5
09/06/14,16.42.40.54,37.755,15.021,-1.45,1.1
12/15/24,21.07.49.88,37.8,15.035,-1.45,1.0
10/10/14,01.59.58.99,37.688,14.922,-1.44,1.7
07/01/17,13.40.19.25,37.709,15.006,-1.43,3.3
06/12/20,04.25.19.51,37.812,15.064,-1.43,2.2
09/09/28,18.37.06.91,37.627,15.089,-1.42,1.7
03/10/02,23.46.05.26,37.698,14.926,-1.42,1.9
07/01/17,13.46.15.68,37.687,15.061,-1.41,3.4
03/08/19,07.23.04.69,37.629,15.073,-1.41,2.1
10/10/14,02.01.05.17,37.687,14.915,-1.41,1.7
02/16/03,19.35.27.50,37.749,14.999,-1.41,1.2
07/01/15,00.24.30.31,37.692,14.977,-1.4,2.5
07/01/15,16.46.12.62,37.714,15.003,-1.4,2.3
07/01/15,08.06.18.69,37.717,15.01,-1.39,3.1
07/01/12,22.55.50.17,37.728,15.015,-1.37,2.7
06/04/01,12.46.42.06,37.813,15.048,-1.37,2.6
12/09/03,00.18.44.85,37.688,14.914,-1.37,1.6
02/01/14,18.52.38.20,37.798,15.054,-1.36,2.0
05/08/13,09.28.05.31,37.764,15.007,-1.35,3.0
12/09/19,11.47.41.83,37.692,14.927,-1.35,2.9
07/12/11,19.20.31.34,37.81,15.064,-1.35,1.7
05/08/13,09.24.14.29,37.761,15.005,-1.34,2.6
11/09/25,07.01.25.39,37.687,14.915,-1.34,1.6
07/01/17,00.59.44.11,37.713,15.007,-1.33,3.4
04/09/20,20.12.29.48,37.696,14.915,-1.33,2.5
07/01/15,21.26.20.17,37.714,15.001,-1.32,2.5
07/01/15,23.13.26.64,37.717,15.014,-1.32,2.7
10/10/14,01.56.03.82,37.69,14.926,-1.32,1.7
07/09/15,00.29.45.02,37.671,15.122,-1.3,1.6
07/01/17,04.29.27.29,37.702,15.001,-1.29,2.8
04/02/11,01.39.12.88,37.695,14.975,-1.29,1.9
10/07/24,05.42.14.50,37.828,15.069,-1.29,1.5
08/07/26,22.56.17.71,37.647,15.142,-1.28,1.8
05/08/05,10.53.35.67,37.827,15.059,-1.28,1.9
05/08/13,09.18.17.46,37.765,15.017,-1.28,2.0
08/16/22,18.38.01.21,37.748,15.002,-1.28,1.5
07/01/15,04.53.32.47,37.721,15.011,-1.27,2.9
07/01/15,19.39.25.70,37.717,15.007,-1.27,2.5
06/09/14,00.26.09.03,37.654,15.158,-1.27,1.9
05/01/04,04.42.07.36,37.628,14.959,-1.26,3.0
07/01/13,22.45.57.46,37.658,14.975,-1.26,2.5
01/09/25,00.17.13.21,37.809,15.104,-1.26,2.0
07/01/12,23.54.52.69,37.74,15.019,-1.25,2.2
07/01/15,16.08.30.65,37.718,15.005,-1.25,2.5
05/04/17,08.50.25.36,37.773,15.214,-1.23,1.3
06/11/18,17.44.48.29,37.754,14.996,-1.23,1.4
07/01/14,05.13.12.43,37.702,14.95,-1.22,2.4
07/01/14,06.36.22.83,37.691,15.055,-1.22,3.0
11/09/23,12.43.58.56,37.813,15.046,-1.22,1.2
04/10/02,20.13.33.23,37.806,15.127,-1.21,2.0
06/10/19,14.08.37.23,37.687,14.913,-1.21,2.2
07/01/13,07.39.46.41,37.688,15.057,-1.2,2.7
05/09/15,03.59.40.97,37.736,15.141,-1.2,2.1
06/09/18,22.52.38.97,37.728,15.147,-1.2,1.8
07/09/21,13.06.59.55,37.668,15.13,-1.2,1.5
10/10/20,18.28.03.13,37.686,14.913,-1.2,1.9
07/02/01,23.02.38.76,37.632,15.065,-1.19,2.6
08/09/17,21.23.47.37,37.686,14.913,-1.18,2.4
07/01/17,03.22.48.15,37.685,15.037,-1.17,2.9
08/02/24,15.55.41.34,37.693,14.972,-1.17,1.5
